Preguntas,Hombres,Mujeres
Pregunta1_1,  8.7,  8.8
Pregunta1_2,  7.6,  8.3
Pregunta1_3,  8.3,  7.6
Pregunta1_4,  8.4,  5.6
Pregunta1_5,  8.5,  9.0
Pregunta1_6,  8.2,  8.3
Pregunta1_7,  8.7,  7.5
Pregunta2_1,  8.0,  7.2
Pregunta2_2,  8.5,  9.0
Pregunta2_3,  8.4,  8.0
Pregunta2_4,  7.1,  7.7
Pregunta2_5,  8.0,  5.8
Pregunta2_6,  8.4,  9.0
Pregunta2_7,  8.3,  8.2
Pregunta3_1,  7.7,  7.5
Pregunta3_2,  9.5,  7.1
Pregunta3_3,  8.6,  8.8
Pregunta3_4,  8.4,  8.3
Pregunta3_5,  8.1,  7.5
Pregunta3_6,  8.1,  8.3
Pregunta3_7,  8.1,  8.0
Pregunta4_1,  8.1,  7.3
Pregunta4_2,  7.6,  7.8
Pregunta4_3,  8.7,  9.0
Pregunta4_4,  8.8,  9.0
Pregunta4_5,  7.8,  8.0
Pregunta4_6,  7.3,  8.1
Pregunta4_7,  9.6,  5.8
